State,District,Date,Year,Month,Avg_rainfall,Agency_name
Telangana,Wanaparthy,2023-01-02,2023,01,0.0,NRSC VIC MODEL
Telangana,Wanaparthy,2023-01-04,2023,01,0.0,NRSC VIC MODEL
Telangana,Wanaparthy,2023-01-07,2023,01,0.0,NRSC VIC MODEL
Telangana,Wanaparthy,2023-01-13,2023,01,0.0,NRSC VIC MODEL
Telangana,Wanaparthy,2023-01-15,2023,01,0.0,NRSC VIC MODEL
Telangana,Wanaparthy,2023-01-20,2023,01,0.0,NRSC VIC MODEL
Telangana,Wanaparthy,2023-01-21,2023,01,0.0,NRSC VIC MODEL
Telangana,Wanaparthy,2023-01-30,2023,01,0.003270675,NRSC VIC MODEL
Telangana,Wanaparthy,2023-01-31,2023,01,0.0,NRSC VIC MODEL
Telangana,Wanaparthy,2023-02-01,2023,02,0.0039516734,NRSC VIC MODEL
Telangana,Wanaparthy,2023-02-03,2023,02,0.0,NRSC VIC MODEL
Telangana,Wanaparthy,2023-02-06,2023,02,0.0002137282,NRSC VIC MODEL
Telangana,Wanaparthy,2023-02-08,2023,02,0.0,NRSC VIC MODEL
Telangana,Wanaparthy,2023-02-09,2023,02,0.0,NRSC VIC MODEL
Telangana,Wanaparthy,2023-02-16,2023,02,0.0010686411,NRSC VIC MODEL
Telangana,Wanaparthy,2023-02-23,2023,02,0.0,NRSC VIC MODEL
